KD <1mM,SMILES
0,Cc1c(C2NCCC2)c(C)n[n]1C
0,C[n]1c(C(N(C)C(N2C)=O)=O)c2nc1
0,Cc1ccnc(N2)c1NC2=O
0,CS(c(ccc(C#N)c1)c1F)(=O)=O
0,COCc1cc(C#N)ccc1
0,NC(C(CC1)CCC1(F)F)=O
0,CC[n]1c(C(C2CCOCC2)N)ncc1
0,CNC(c(cc1)cc2c1[nH]nn2)=O
0,CC(c(ccnc1)c1OC)N
0,CCN(CCC(NC12CCCC1)=O)C2=O
0,N[C@H](C1)C[C@@H]1c1cc(F)cc(F)c1.Cl
0,C[n]1c(NCCO)nc2c1cccc2
0,Cc1cc(-c2cc(N)n[o]2)cnc1
1,Nc1ccc(C2CC2)nn1
0,C(c1c[s]cn1)N1CCNCC1
0,CCC(C(N(C)CC1)=O)NC1=O
0,NCc1nnc(CC2)[n]1CC2C(F)(F)F
0,CC1(C)Oc(ccc(C#N)c2)c2NC1=O
0,CN(C)c1ncc(CN)[n]1C
0,NCCOc(cc1)cc(CC2)c1NC2=O
0,OC(CC1OCCc2c1[s]cc2)=O
0,NS(c1cc2cc(F)ccc2nc1)(=O)=O
0,C(COCC1)C1N1CCNCC1
0,OCCc1c[n](cccc2)c2n1
0,OC(c1cc(C2CC2)ncc1)=O
0,O=C1NCCCc2c1cn[nH]2
0,O=C1N(CCNC2)C2=NN1
0,Cc1n[o]cc1CC(O)=O
0,Cc1nc(-c2ccccc2)nc(N)c1
1,Cc1n[s]c(N=CN2)c1C2=O
0,OC(CC1=CCOCC1)=O
0,CC1(C)NCCN(CCOC)C1
0,COc(cccc1)c1-c1n[o]c(N)c1
0,CC[n]1ncc(C2OCCNC2)c1
0,CCc1c(C(O)=O)nc[o]1
0,O=C(c(cc(cc1)F)c1N1)C1=O
0,CC(C)c1n[n](C)cc1C#N
0,NC1CCN(Cc2ccc[s]2)CC1
0,OC(C(C1)CC11CCOCC1)=O
0,N#Cc1cc(F)c(CNC2CC2)cc1.Cl
0,CC(C)(CCC1)C1C(O)=O
0,Cc(nccc1)c1OC1CNCC1.Cl.Cl
0,OC(C1)(Cc2c1cccc2)C(O)=O
0,Nc1nc(CC2CC2)n[s]1
0,OC(CCOC1)C1OCC1CC1
0,CCc1c[s]c(-c2c[nH]cn2)n1
0,Nc1ncnc2c1CCCC2
0,C[n](cc1)c(C2CCC2)c1C(O)=O
0,CC(C)[n]1ncc(CN2CCNCCC2)c1
0,CS(c1ccc(CC(O)=O)cc1)=O
0,CC(C)Cc1n[nH]c(N)c1
0,C(C1)COC2C1CNCC2
0,COc1ncccc1CCN
0,O=S(c1ccccc1)(NC1CNCCC1)=O
0,CNCCN1CCOCC1
0,CC1N(CCN)CCOC1
0,C[n]1c(C(C2CC2)N)ncc1
0,Cc1ccc(C(CN)O)[o]1
1,CN([C@@H]([C@@H](CN)C1)c2ccccc2)C1=O
0,FC(c1ccc(C2OCCNC2)cc1)(F)F
0,COCC1CNCCCC1
0,C[n]1c(-c(cccc2)c2Cl)nnc1
0,Nc([o]nc1)c1-c(cccc1)c1F
0,Cc1cccc(-c2nnc(CO)[o]2)c1
0,Fc(cc1)cnc1NC1CCOCC1
0,OC(CN(CCC1)C1=O)=O
0,OC(CC1)(CCC1C(F)(F)F)C(O)=O
0,CC(C)Cc1nnc2[n]1CCNC2
0,COc(cc1)c(C(CN)O)cc1Cl
0,Nc1ccn[n]1-c1cccc(F)c1
0,CCOC(C1)CC1C(O)=O
0,C[n]1ncc2c1ccc(CC(O)=O)c2
0,C[n]1nc(C2CCC2)c(C(O)=O)c1
0,NC(CCC1)C11CCOCC1
0,O=C1NCCCC1C1CCCCC1
0,CN(C)C1(CN)CCOCC1
0,Cc1ncc[n]1Cc1cccc(C#N)c1
0,OC(C(CCC1)c2c1[nH]nc2)=O
0,NC(c1cnc(C(F)(F)F)nc1)=O
0,OC(c1ncc(C(F)(F)F)cc1)=O
0,N#Cc(cc1)cc(F)c1N1CCNCC1
0,OCC1(CCNCC1)c1ccccc1
0,CC1CC(CC(O)=O)CC1
0,COc1cccc2c1CNC2=O
0,CS(c1c(CC(O)=O)cccc1)=O
0,OC(C1C=CC=CC=C1)=O
0,Nc1n[o]c(Cc2ccccc2)n1
0,C(COC1)Nc2c1cccc2
0,Cc1cc(C2NCCC2)n[o]1
0,CC1N(Cc2ccccc2)CCCC1O
0,Nc1n[o]cc1-c(cccc1)c1F
0,O=S(c(ccc(F)c1)c1Cl)(NC1CC1)=O
0,NCc1cc(F)c(CO)cc1.Cl
0,CC(C)c(cc1)ncc1C#N
0,FC(c1n[n](C2CCNCC2)cc1)(F)F
0,NC(CCN1c(cccc2)c2F)C1=O
0,CN(CCNC1)C1c1ncc[nH]1
0,CN1[C@H](CNC2)[C@H]2OCC1
0,CC1OC2(CCOCC2)CNC1
0,Nc1nnc(Cc2ccccc2)[s]1.Cl
0,Cc(cncc1)c1OC1CCNCC1
0,Cc1c[n](CC2CCNCC2)nc1
0,CC(CN1CCOCC1)N
0,OCc1nc(Cc2cccc(F)c2)n[o]1
0,OC(c1n[n](CCCC2)c2c1)=O
0,C(C1)C1c1n[nH]c(N2CCNCC2)c1
0,Cc([nH]nc1C(F)(F)F)c1Cl
0,COCC1(CCNCC1)O
0,Cc(cc1)ccc1N(CCNC1)C1=O
0,C[n]1ncc(CN2CCNCC2)c1
0,NCC(CC1)C[n]2c1ncc2
0,CC(C)c(nc1)nc(C(N)=O)c1Cl
0,OCC1c2ncccc2CCC1
0,CN(c(cccc1)c1N1CC(O)=O)C1=O
0,C(CNC1)C1Nc1ccccc1
0,CC(c1c[n](C2CCCC2)nc1)O
0,NS(c1ncc(C(F)(F)F)cc1)(=O)=O
0,OC(c1c(C(F)(F)F)cccn1)=O
0,OCC#Cc1cccc(F)c1F
0,CNc1nc(cccc2)c2[nH]1
0,OC(C(CC1)Cc2c1[nH]nc2)=O
0,OCc1c(-[n]2nccc2)nccc1
0,CCC1OCCCC1C(O)=O
0,OCC1(Cc2ccccc2)CNCCC1
0,COc(cc1)cc(OCCN2)c1C2=O
0,CN1c(cccc2)c2NCC1=O
0,NC(CCN1c(cc2)ccc2F)C1=O
0,Cc1c(CCN)[s]c(C)n1
0,Cc1cnc(-c2c(N)[n](C)nc2)[o]1
0,Cc1c(C)[o]c(CN2CCC(CN)CC2)n1
0,CC[n]1nc(C)c(CN)c1C
0,C[n]1c(CN(C2)[C@H](CN)C[C@@H]2F)ncc1
0,Cc1cncc(NCc2ccncc2)c1
0,OC[C@@H](CC1)N[C@@H]1C(F)(F)F
0,Cc1nc(C(CCC2)C(NC)=O)c2[s]1
0,C[C@H](c1ccccc1)N(CC1)CC1(CO)F
0,CC1Nc(nccc2)c2NC1=O
0,Cc1n[o]c(C)c1COC1CNCC1
0,OC(c1c(C2CC2)[nH]c(C2CC2)c1)=O
0,CC(C)C(CCCC1)C1O
0,Fc1cc(NC2CCOCC2)ccc1
0,Cc1c(CCN)cncc1
0,CC1N(Cc2ccccc2)CC(CO)OC1
0,OC(CC1OCCCC1)=O
0,COc(ccc(CC(O)=O)c1)c1F
0,CN(C1)c(nccc2)c2NC1=O
0,NS(c1cccc2ncccc12)(=O)=O
0,C1Nc2cccnc2NC1
0,O=S(c(cc1)ccc1F)(NC1CC1)=O
0,OC(C(C1)C11COCC1)=O
1,C[n]1c(C(NCC2)=O)c2cc1
0,OC(c([nH]c1ccc2)cc1c2Cl)=O
0,CN(C=CC(C(O)=O)=C1)C1=O
0,CC(c(cc1)cc(F)c1-[n]1ncc(C)c1)N.Cl
0,Oc1nccc(C(F)(F)F)n1
0,NC(c1c(CCCN2)c2ccc1)=O
0,C(C1)CNCC1c1nnc2[n]1CCCCC2
0,Cc1cccc(C(N2CCNCCC2)=O)c1
0,CC[n]1nc(CO)c(C)n1
0,OC(C(CCC1)CC1(F)F)=O
0,COc1cc(F)c(CN)cc1.Cl
0,CC1(C)C(c2cccnc2)NC1
1,CC(CNc(cccc1)c1N1C)C1=O
